"company","companyNumber","directors","addressLine1","addressLine2","locality","region","postcode","siteAddress","planningReference","localAuthority","units","gdv","loanAmount"
"STATOM GROUP LIMITED","08785228","Thomas Brown; Kevin Graham; Stanislav Nikudinski; Edward Nixon; Martina Oyite; Adam Richardson; James Tuohy","47-49 Durham Street","","London","","SE11 5JA","Former Victoria House 388 Malden Road Cheam Sutton SM3 8HY","DM2026/00740","Sutton","74","22145000","14394000"
"TRADING L.P.","SL018210","","45 Rosehaugh Road","","Inverness","","IV3 8SW","Hoplands Farm Island Road Hersden Kent CT3 4HQ","CA/26/00714","Canterbury","59","18585000","12080000"
"LIMITEDS LIMITED","05880089","Elaine Sutherland","Penrose House, 67 Hightown Road","Banbury","Oxfordshire","","OX16 9BE","1 - 4 Brixton Hill Place London SW2 1HJ","26/01678/NMC","Lambeth","24","15276000","9929000"
"DANIEL BROWN PROPERTIES LIMITED","17031372","Daniel Brown","Unit 4, Merlin Park Airport Service Road","Hilsea","Portsmouth","","PO3 5FU","277 Stafford Road Wallington SM6 9BX","DM2026/00513","Sutton","16","15120000","9828000"
"LTD LTD","15251215","George De Vos; Alexander Young","5a Gransden Avenue","","London","","E8 3QA","48 Howbury Lane And Former Allotment Site Howbury Lane Erith Kent","19/00682/OUTMMIN","Bexley","48","13104000","8518000"
"OCOL ESTATES LTD","13272942","George Wilkinson","6 Woodlands Rise","","Harrogate","","HG2 7BD","Land South Of 73 To 81 Upwell Road March Cambridgeshire","F/YR26/0555/NONMAT","Fenland","110","11829000","7689000"
"PRAYA HOMES LIMITED","09154559","Christine Fallon; Stephen Fallon","20 Cheltenham Avenue","","Liverpool","","L17 2AR","Mile End East Estate, Mile End, London E3","PA/25/01561/S","Tower Hamlets","21","10143000","6593000"
"QUINN ESTATES KENT LIMITED","09044975","Huw Evans; Mark Quinn","Quinn Estates Kent Ltd The Cow Shed","Highland Court Farm","Bridge","Kent","CT4 5HW","Land Rear Of 51 Rough Common Road Rough Common Canterbury Kent CT2 9DL","CA/26/01224","Canterbury","23","9281000","6033000"
"OLDMAN HOMES LIMITED","03006852","Claire Dale; Andrew Oldman; Philip Oldman","13 The Close","","Norwich","","NR1 4DS","Phase 6 At Woods Meadow Oulton Lowestoft Suffolk","DC/26/2797/AME","East Suffolk","34","7943000","5163000"
"CODI CONSULTING GROUP LIMITED","16584374","Kevin Murphy","6 Blakenhall Drive","","Lutterworth","","LE17 4DN","Land East Of Clordir Road Pontlliw Swansea","2026/1214/NMA","Swansea","31","6673000","4337000"
"WILLMOTT DIXON CONSTRUCTION LIMITED","00768173","Stewart Brundell; Scott Corey; Richard Cotter; Michael Cross; Anthony Dillon; Graham Dundas; Emma Jansen Van Vuuren; James Mackenzie; Peter Owen; Richard Poulter; Simon Ramage; Neal Stephens; Richard Willmott","Suite 201 The Spirella Building","Bridge Road","Letchworth Garden City","Hertfordshire","SG6 4ET","Former Adwick Depot Land Off Village Street Adwick Le Street Doncaster DN6 7AA","26/01228/MAT","Doncaster","35","6101000","3966000"
"MILE PROPERTY GROUP HOLDINGS LIMITED","16530262","Lea Keckes; Michal Keckes","37 St. Margarets Street","","Canterbury","Kent","CT1 2TU","55-58 Central Parade Herne Bay Kent CT6 5JG","CA/26/00712","Canterbury","10","2329000","1514000"
