"week","rank","sourceDomain","sourceUrl","domainRank","spamScore","competitorsLinked","outreachType","title","owner","status","followUpOneDue","followUpTwoDue","qualifyingNote"
"4","90","www.bbc.com","https://www.bbc.com/5050/stories/partners","90","0","10","Digital PR / expert commentary","Aldermore agrees takeover by South Africa's FirstRand","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","91","www.huffingtonpost.co.uk","https://www.huffingtonpost.co.uk/2013/10/04/aldermore-philip-monks_n_4041926.html","75","0","10","Digital PR / expert commentary","This DIY Legend Transformed 3 Rooms For £717. Here's How | HuffPost UK Life","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","92","www.wikiwand.com","https://www.wikiwand.com/en/Strabane","73","25","10","Manual review","North East England - Wikiwand","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","93","74n5c4m7.r.eu-west-1.awstrack.me","https://74n5c4m7.r.eu-west-1.awstrack.me/L0/https:%2F%2Fabcfinance.co.uk%2F/1/0102018e3240180f-5a140a3a-31a7-4b71-9baa-4cf64b568b67-000000/LMYaaiCA3cCCihK53fz0ep9MXKg=364","72","0","10","Manual review","","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","94","clientsbee.com","https://clientsbee.com/website/rbs.co.uk/","65","15","10","Manual review","Technologies used by affirmativefinance.co.uk","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","95","finovate.com","https://finovate.com/blog/page/1249/","62","15","10","Guest article or resource inclusion","Fintech Rundown Archives - Page 9 of 9 - Finovate","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","96","notltd.co.uk","https://notltd.co.uk/money-tax/guide-bridging-loans-auction-finance/","60","0","10","Manual review","NatWest to Offer Quick Loans up to £250,000 to Small Businesses","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","97","www.europeanbusinessreview.com","https://www.europeanbusinessreview.com/how-to-renovate-property-for-a-profit/","59","0","10","Guest article or resource inclusion","How to Calculate the Best Bridging Loan Interest Rates - The European Business Review","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","98","www.businessmanchester.co.uk","https://www.businessmanchester.co.uk/2022/11/21/rental-market-trends-landlords-need-to-know/","58","0","10","Digital PR / expert commentary","Unlock The Potential Of Your Property With Property Refurbishment Finance | Business Manchester","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","99","www.intelligenthq.com","https://www.intelligenthq.com/5-clever-ways-access-capital-business/","58","0","10","Manual review","Bridging Loans: A Key Tool for Property Developers - IntelligentHQ","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"4","100","wealthandfinance.digital","https://wealthandfinance.digital/winners/lendinvest-3/","57","0","10","Manual review","Retail Closures: Finance Experts Advise Businesses to ‘Adapt and React’ - Wealth & Finance International","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
